"taxon","genus","species","family","prediction","predicted_threat","prediction_binomial","accuracy_binomial","category","observed_threat","threat_binomial","confidence","mean_alt","total_flor_regions","mean_eoo","mean_aoo","pa_binomial","protected","II","IV","VI","trop_subtrop_moist_broad","trop_subtrop_grass_sav_shrub","desert_xeric","flooded_grass","montane_grass","hfp_delta_class1","hfp_delta_class2","hfp_delta_class3","hfp_delta_class4","hfp_delta_class5","hfp_2009_class1","hfp_2009_class2","hfp_2009_class3","hfp_2009_class4","hfp_2009_class5","hfp_2009_class6","hfp_2009_class7","hfp_2009_class8","hfp_2009_class9","hfp_2009_class10","hfp_quant_1to3","hfp_quant_1to4","sqrt_eoo","sqrt_aoo","sqrt_desert","new_pred","threatened",".lower",".upper"
"Aloe downsiana","Aloe","downsiana","Asphodelaceae","correct","T",0,1,"CR","T",1,"confident",2175,1,4,4,0,"absent","absent","absent","absent",0.118248010673716,0.838664406451292,0,0,0.0430875828749917,0.00330244974500587,0.00977730126242329,0.739146974881118,0.218924185052494,0.0288490890589585,0,0,0.00655201560116691,0.259265668820623,0.258162184675537,0.213796194394284,0.164093624074276,0.0759301897429473,0.0186111915422386,0.00358893114892725,0.00655201560116691,0.26581768442179,2,2,0,"threatened",0.666193687,0.577306924,0.729323187
"Aloe elkerriana","Aloe","elkerriana","Asphodelaceae","over","T",2,0,"LC","NT",0,"confident",1000,1,4,4,0,"absent","absent","absent","absent",0.106125157666787,0.72425909573767,0,0,0.169615746595543,0.00641992699589689,0.0198846806297776,0.711662548362125,0.236233116715316,0.0257997272968848,0,0,0.137293545227608,0.237275573384101,0.251895298744933,0.188761789559877,0.128359067646039,0.0470758157302159,0.00914181375572341,0.000197095951503971,0.137293545227608,0.374569118611709,2,2,0,"over",0.666193687,0.577306924,0.729323187
"Aloe friisii","Aloe","friisii","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",1100,2,8,8,1,"present","absent","present","absent",0.195405980740407,0.632693469050491,0.0303055336422945,0,0.141595016566808,0.0305399303835383,0.0953516805729761,0.601336952793551,0.239773588374699,0.0329978478752361,0.000667005692504198,0.00372069726305671,0.072129210445427,0.141118960341176,0.185652996643555,0.221868857576184,0.191238512587874,0.138940014152372,0.0320894067068891,0.0125743385909608,0.0765169134009879,0.217635873742164,2.82842712474619,2.82842712474619,0.17408484610182,"threatened",0.663116076,0.588126287,0.728034305
"Aloe ghibensis","Aloe","ghibensis","Asphodelaceae","correct","T",0,1,"CR","T",1,"confident",1542.5,1,12,12,0,"absent","absent","absent","absent",0.294629819748492,0.097515346326719,0,0,0.607854833924789,0.0274249475471714,0.0900886484503126,0.207448974652241,0.327100758000472,0.347936671349803,0,0,8.25517069583267e-06,0.000371257670600591,0.00712196129537506,0.0604718885648892,0.115582567786186,0.36812739227297,0.3425531562088,0.105763521030484,8.25517069583267e-06,0.000379512841296424,3.46410161513775,3.46410161513775,0,"threatened",0.694537284,0.628467291,0.763872337
"Aloe gilbertii","Aloe","gilbertii","Asphodelaceae","over","T",2,0,"LC","NT",0,"confident",1550,3,20025,60,1,"present","present","absent","present",0.228486672042592,0.454267977288726,0.020201832624568,0,0.297043518044115,0.029499217722762,0.0935933067867126,0.469739371903712,0.268949508703462,0.138218594883352,0.000444667171077845,0.00248044648642949,0.0480885362205381,0.0942023650892777,0.126141770766303,0.168069071673397,0.166019491081225,0.215336937527349,0.135578854842749,0.0436378591416551,0.0510136498780454,0.145216014967323,141.509716980849,7.74596669241483,0.14213315104003,"over",0.662916634,0.588126287,0.728034305
"Aloe harlana","Aloe","harlana","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",1800,1,2300,36,1,"present","absent","absent","absent",0.118248010673716,0.838664406451292,0,0,0.0430875828749917,0.00330244974500587,0.00977730126242329,0.739146974881118,0.218924185052494,0.0288490890589585,0,0,0.00655201560116691,0.259265668820623,0.258162184675537,0.213796194394284,0.164093624074276,0.0759301897429473,0.0186111915422386,0.00358893114892725,0.00655201560116691,0.26581768442179,47.9583152331272,6,0,"threatened",0.599931058,0.537332011,0.661892952
"Aloe kefaensis","Aloe","kefaensis","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",1925,3,3001,41,1,"present","absent","absent","absent",0.290699965185769,0.244929644061689,0,0,0.464370390752541,0.0453463824955035,0.102947098420974,0.297095387079565,0.300755391881536,0.253855740122422,0,0,0.0305705665648731,0.0627592901802539,0.0674973388464716,0.159038805156707,0.147272979855045,0.307430204161171,0.179342416898351,0.0460883983371267,0.0305705665648731,0.0933298567451269,54.7813836992093,6.40312423743285,0,"threatened",0.645175889,0.576342899,0.713248995
"Aloe monticola","Aloe","monticola","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",2450,1,2300,16,0,"absent","absent","absent","absent",0.367903253188369,0.250140453762004,0.00755151269216798,0,0.374404780357459,0.0204053008155542,0.0912908459507024,0.44586390515443,0.377000656148071,0.0654392919312427,0,0,0,0.00602431651059716,0.0822260867760937,0.22437289262375,0.362922774034548,0.291823914309031,0.0293960672557365,0.00323394849024313,0,0.00602431651059716,47.9583152331272,4,0.0868994401142377,"threatened",0.580986926,0.503475034,0.656965808
"Aloe omoana","Aloe","omoana","Asphodelaceae","correct","T",0,1,"CR","T",1,"confident",1840,1,4,4,0,"absent","absent","absent","absent",0.294629819748492,0.097515346326719,0,0,0.607854833924789,0.0274249475471714,0.0900886484503126,0.207448974652241,0.327100758000472,0.347936671349803,0,0,8.25517069583267e-06,0.000371257670600591,0.00712196129537506,0.0604718885648892,0.115582567786186,0.36812739227297,0.3425531562088,0.105763521030484,8.25517069583267e-06,0.000379512841296424,2,2,0,"threatened",0.648532128,0.581597036,0.725627927
"Aloe otallensis","Aloe","otallensis","Asphodelaceae","correct","NT",0,1,"LC","NT",0,"low_confidence",1400,2,17700,72,1,"present","present","absent","absent",0.195405980740407,0.632693469050491,0.0303055336422945,0,0.141595016566808,0.0305399303835383,0.0953516805729761,0.601336952793551,0.239773588374699,0.0329978478752361,0.000667005692504198,0.00372069726305671,0.072129210445427,0.141118960341176,0.185652996643555,0.221868857576184,0.191238512587874,0.138940014152372,0.0320894067068891,0.0125743385909608,0.0765169134009879,0.217635873742164,133.041346956501,8.48528137423857,0.17408484610182,"not_threatened",0.384801944,0.325266656,0.46122847
"Aloe pubescens","Aloe","pubescens","Asphodelaceae","over","T",2,0,"NT","NT",0,"confident",2175,3,27400,14300,1,"present","absent","absent","absent",0.17188328686483,0.600658358045509,0,0,0.227458355089661,0.0105759451196167,0.0358900190726603,0.577598608200941,0.251640827033766,0.124294600573016,0,0,0.00447198116639095,0.176969746190754,0.180865572346945,0.170940861397711,0.153666838491694,0.167246715133008,0.114693707932135,0.0311445773413618,0.00447198116639095,0.181441727357145,165.529453572468,119.582607431014,0,"over",0.580986926,0.503475034,0.656965808
"Aloe pulcherrima","Aloe","pulcherrima","Asphodelaceae","correct","T",0,1,"VU","T",1,"confident",2595,3,9100,20,1,"present","absent","absent","absent",0.253760017476727,0.208604274809849,0,0,0.537635707713424,0.0487278216136521,0.0964920160725697,0.264264231418095,0.326186794912323,0.264329135983359,0,0,0.0138075577057334,0.0216356763864297,0.0450459448674341,0.176357433994451,0.174758906006348,0.338433750859379,0.181938428931422,0.0480223012488023,0.0138075577057334,0.0354432340921631,95.3939201416946,4.47213595499958,0,"threatened",0.662916634,0.588126287,0.728034305
"Aloe schelpei","Aloe","schelpei","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",2085,1,581,12,0,"absent","absent","absent","absent",0.294629819748492,0.097515346326719,0,0,0.607854833924789,0.0274249475471714,0.0900886484503126,0.207448974652241,0.327100758000472,0.347936671349803,0,0,8.25517069583267e-06,0.000371257670600591,0.00712196129537506,0.0604718885648892,0.115582567786186,0.36812739227297,0.3425531562088,0.105763521030484,8.25517069583267e-06,0.000379512841296424,24.1039415863879,3.46410161513775,0,"threatened",0.599931058,0.537332011,0.661892952
"Aloe sinana","Aloe","sinana","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",1675,2,4900,20,0,"absent","absent","absent","absent",0.282988291654412,0.092436822439179,0,0,0.624574885906409,0.0487864029086063,0.113196178074576,0.252414996734506,0.329049648219989,0.256552774062322,0,0,5.66324076844268e-06,0.00479904325731748,0.0239384788614137,0.134332777742865,0.169488676582751,0.342487778103212,0.251115694795078,0.0738318874165939,5.66324076844268e-06,0.00480470649808592,70,4.47213595499958,0,"threatened",0.599931058,0.537332011,0.661892952
"Aloe tewoldei","Aloe","tewoldei","Asphodelaceae","over","T",2,0,"NT","NT",0,"confident",1100,2,11500,12,1,"present","absent","absent","absent",0.113910520459018,0.797730814709625,0,0,0.0883586648313577,0.00441796947505427,0.0133940016249184,0.729312285616829,0.22511780034525,0.0277579429379479,0,0,0.0533306167346057,0.251397733465648,0.255919927313748,0.204839021859223,0.151307996075177,0.0656062532190805,0.0152231001857821,0.0023753511467354,0.0533306167346057,0.304728350200254,107.238052947636,3.46410161513775,0,"over",0.662916634,0.588126287,0.728034305
"Aloe trigonantha","Aloe","trigonantha","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",2200,2,9837,32,0,"absent","absent","absent","absent",0.274107285574713,0.324210949134722,0,0,0.401681765290565,0.0295807372559363,0.0576430004589407,0.253645618701356,0.357724542470063,0.301406101113703,0,7.97659133974257e-09,0.0500677187784785,0.0758627548900226,0.0857490210305199,0.182794843099553,0.150591724347678,0.312679805612382,0.125034838075311,0.017219286189464,0.0500677267550698,0.125930481645092,99.1816515288992,5.65685424949238,0,"threatened",0.63246271,0.555089009,0.714581836
"Aloe yavellana","Aloe","yavellana","Asphodelaceae","correct","T",0,1,"EN","T",1,"confident",1775,1,4850,32,1,"present","present","absent","absent",0.174789642146572,0.675266596759369,0.0222009442662629,0,0.127742816827796,0.0275298038805096,0.0767566483465079,0.658514077148126,0.207759215964408,0.0294402546604485,0.000517375959393034,0.00438923132887204,0.0711583126304248,0.169432091676419,0.209293139617468,0.210743404112641,0.181507802756587,0.108523285355742,0.0283949921619297,0.0160403644005235,0.0760649199186899,0.245497011595109,69.6419413859206,5.65685424949238,0.148999812973919,"threatened",0.599931058,0.537332011,0.661892952
"Alopecurus baptarrhenius","Alopecurus","baptarrhenius","Poaceae","correct","T",0,1,"EN","T",1,"low_confidence",3900,3,19150,24,1,"present","present","absent","absent",0.187374306978067,0.455286895982624,0,0,0.357338797039309,0.0237689314227599,0.0535591516183586,0.452744838872207,0.285107589412997,0.184819488673677,0,0,0.0707161688311806,0.118811517823215,0.135336605714526,0.166387695939404,0.139432767169484,0.215144756649666,0.12178285187439,0.032387635998135,0.0707161688311806,0.189527686654395,138.38352503098,4.89897948556636,0,"threatened",0.540577432,0.430377828,0.641958157
"Amorphophallus gomboczianus","Amorphophallus","gomboczianus","Araceae","correct","T",0,1,"VU","T",1,"confident",1950,3,28562,44,1,"present","absent","absent","absent",0.342834902470288,0.190587013018381,0,0,0.46657808451133,0.0315085721678039,0.095717931810088,0.277507278225518,0.324988863690211,0.270277354106379,0,5.69907059981006e-09,0.0410546537324722,0.0841033674296447,0.0727743569473361,0.112001811277799,0.121798944546912,0.291775858577429,0.221557779772013,0.0549332220173235,0.0410546594315428,0.125158026861187,169.002958553985,6.6332495807108,0,"threatened",0.602456309,0.528453888,0.676181952
"Andrachne ephemera","Andrachne","ephemera","Phyllanthaceae","correct","T",0,1,"EN","T",1,"confident",1300,2,73649,28,1,"present","absent","absent","present",0.137953899570134,0.781717003275406,0.00773747289758652,0,0.0725916242568733,0.0117338337003058,0.0330868458863507,0.711085845448127,0.215038653817667,0.0290548211475494,0.00018031586474843,0.0015297348635506,0.0290686016649866,0.227956871316376,0.241130345528211,0.212732235952582,0.170162813473158,0.0872895351349212,0.0220210416468617,0.00792850455460482,0.0307786523932857,0.258735523709662,271.383492497241,5.29150262212918,0.0879629063730077,"threatened",0.689036243,0.625551394,0.758090701
"Anthericum neghellense","Anthericum","neghellense","Asparagaceae","correct","T",0,1,"VU","T",1,"confident",1375,2,26432,64,0,"absent","absent","absent","absent",0.139760523597119,0.70026007144642,0.0108751546021508,0,0.149104250354311,0.0167480278460154,0.047709542960037,0.685659423202834,0.222302134542417,0.0275808714486969,0.000253437127640894,0.00215006932646382,0.104897135844853,0.204042376477689,0.231026588777752,0.199529505283849,0.154394028334909,0.0771759197647446,0.0185730023230295,0.00795793673906912,0.107300642298957,0.311343018776646,162.579211463213,8,0.104284009331013,"threatened",0.555643603,0.481070285,0.638514444
"Anthoxanthum aethiopicum","Anthoxanthum","aethiopicum","Poaceae","correct","T",0,1,"EN","T",1,"confident",3600,4,9320,56,1,"present","present","absent","present",0.164746069285846,0.623771681026267,0.0155914640218185,0,0.195890785666068,0.0200952989951477,0.0649736423801221,0.622060653679048,0.243639112585252,0.0492312923604302,0.000343200522731312,0.00191444429928608,0.0926532156723495,0.168598367396997,0.200637826450633,0.20165822940262,0.164988348871747,0.118691734330645,0.0406339805850151,0.00988065246797717,0.0949108604943669,0.263509227891364,96.5401470891774,7.48331477354788,0.124865784031569,"threatened",0.548582069,0.451551856,0.651097967
"Argyrolobium schimperianum","Argyrolobium","schimperianum","Fabaceae","correct","NT",0,1,"NT","NT",0,"confident",2800,3,49150,48,1,"present","present","absent","absent",0.281609057347335,0.241345029179499,0,0,0.477045913473165,0.0287920568433751,0.0695130112209425,0.236744903321063,0.34652104758767,0.318428981026949,0,5.06013307955457e-09,0.0317646203845459,0.0482610148406635,0.0570008342334438,0.138070251357495,0.137791426640653,0.332952948015711,0.20456543813274,0.0495934613346148,0.031764625444679,0.0800256402853425,221.697992773954,6.92820323027551,0,"not_threatened",0.31422438,0.239445416,0.376508758
"Arisaema mooneyanum","Arisaema","mooneyanum","Araceae","correct","T",0,1,"VU","T",1,"confident",2725,3,33429,32,1,"present","present","absent","absent",0.177698281585568,0.552607928131613,0.00821110825057375,0,0.261482682032245,0.0193664599965276,0.0581026914927241,0.56838200160153,0.248003188092748,0.106145658816471,0.000191353572971892,0.00162337480536429,0.0792028951543909,0.154149816706915,0.176177501312394,0.165465075852873,0.144886528564888,0.148449224578575,0.0979372209072101,0.0319170085444186,0.0810176235327271,0.235167440239642,182.835992080334,5.65685424949238,0.090615165676468,"threatened",0.6887151,0.606729139,0.759792412
"Artemisia schimperi","Artemisia","schimperi","Asteraceae","correct","T",0,1,"VU","T",1,"low_confidence",3650,4,48702,84,1,"present","present","absent","absent",0.195443068635633,0.412292047808883,0,0,0.392264883555484,0.0320187405311637,0.0662367128722584,0.440959735213015,0.290660486731743,0.170124324651819,0,0,0.0625855091060096,0.106815158097662,0.126753091832816,0.181257253521059,0.156430599241024,0.223345039297692,0.113682385745312,0.029130963158425,0.0625855091060096,0.169400667203672,220.68529629316,9.16515138991168,0,"threatened",0.486663062,0.414615435,0.547563158
"Asclepias minutiflora","Asclepias","minutiflora","Apocynaceae","correct","T",0,1,"VU","T",1,"confident",1725,2,8540,16,0,"absent","absent","absent","absent",0.267723251796286,0.250563620855622,0,0.00583443404740991,0.475878693300683,0.0350033464103981,0.117609077497741,0.367387695734061,0.258700489553696,0.221299390804104,0.00606693991479387,0.0288145235103717,0.0515172434063254,0.0612331887602691,0.0540900994882568,0.134676030487348,0.118588667066904,0.267850548843117,0.212460287572924,0.0647024709496914,0.0863987068314909,0.14763189559176,92.4121204171834,4,0,"threatened",0.701984122,0.644409855,0.773699213
"Asclepias pseudofimbriata","Asclepias","pseudofimbriata","Apocynaceae","correct","T",0,1,"EN","T",1,"confident",2725,2,569,20,0,"absent","absent","absent","absent",0.189979596912983,0.570002388763641,0.0183731101138388,0,0.221644904209537,0.0266191998494901,0.0803969566439956,0.59752700530802,0.224583247079015,0.0708735911194796,0.000428171223626916,0.00363245047386722,0.0588893651454919,0.140221336235796,0.1800503205828,0.198136280573983,0.181452810980527,0.149803401278206,0.0670144664665402,0.0203713970391627,0.0629499868429861,0.203171323078782,23.8537208837531,4.47213595499958,0.135547445987886,"threatened",0.701984122,0.644409855,0.773699213
"Asystasia ammophila","Asystasia","ammophila","Acanthaceae","correct","T",0,1,"VU","T",1,"confident",2035,2,26782,44,1,"present","present","absent","absent",0.195405980740407,0.632693469050491,0.0303055336422945,0,0.141595016566808,0.0305399303835383,0.0953516805729761,0.601336952793551,0.239773588374699,0.0329978478752361,0.000667005692504198,0.00372069726305671,0.072129210445427,0.141118960341176,0.185652996643555,0.221868857576184,0.191238512587874,0.138940014152372,0.0320894067068891,0.0125743385909608,0.0765169134009879,0.217635873742164,163.652069953301,6.6332495807108,0.17408484610182,"threatened",0.702817154,0.64140657,0.770914747
"Athroisma boranense","Athroisma","boranense","Asteraceae","over","T",2,0,"NT","NT",0,"confident",1675,1,23519,64,1,"present","present","absent","absent",0.174789642146572,0.675266596759369,0.0222009442662629,0,0.127742816827796,0.0275298038805096,0.0767566483465079,0.658514077148126,0.207759215964408,0.0294402546604485,0.000517375959393034,0.00438923132887204,0.0711583126304248,0.169432091676419,0.209293139617468,0.210743404112641,0.181507802756587,0.108523285355742,0.0283949921619297,0.0160403644005235,0.0760649199186899,0.245497011595109,153.359055813473,8,0.148999812973919,"over",0.655697908,0.596818309,0.718609173
"Barleria baluganii","Barleria","baluganii","Acanthaceae","over","T",2,0,"NT","NT",0,"confident",1650,3,39934,80,1,"present","absent","absent","absent",0.349048030939908,0.392245943596344,0,0.00439372026497686,0.254312305198771,0.0426615758063038,0.134648940885137,0.443942395108182,0.293503375724345,0.0852437124760322,0.00457021267671901,0.0217059180526255,0.0710380708310629,0.127945027235903,0.127489411634256,0.227798243302978,0.169426024647834,0.189504475712929,0.0563837420676836,0.00413887383800946,0.0973142015604074,0.22525922879631,199.83493188129,8.94427190999916,0,"over",0.748127198,0.677987069,0.817762594
"Barleria ferox","Barleria","ferox","Acanthaceae","correct","T",0,1,"EN","T",1,"confident",1500,1,1348,12,1,"present","present","absent","present",0.118248010673716,0.838664406451292,0,0,0.0430875828749917,0.00330244974500587,0.00977730126242329,0.739146974881118,0.218924185052494,0.0288490890589585,0,0,0.00655201560116691,0.259265668820623,0.258162184675537,0.213796194394284,0.164093624074276,0.0759301897429473,0.0186111915422386,0.00358893114892725,0.00655201560116691,0.26581768442179,36.7151195013716,3.46410161513775,0,"threatened",0.748127198,0.677987069,0.817762594
